,Data,LDA_topic,LDA_topic_tfidf
31,how to activate call service,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
32,how to activate callers tune,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
33,how to activate calls,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
34,how to activate calls on idea,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
35,how to activate celebrate pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
36,how to activate celebration pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
37,how to activate celebration pack for myideanumber,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
38,how to activate celebration pack in myideanumber,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
39,how to activate celibration offer,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
40,how to activate channel pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
41,how to activate cute plant,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
42,how to activate dairy milk idea offer,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
43,how to activate dairy milk offer,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
44,how to activate dairy milk offer in idea,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
45,how to activate data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
46,how to activate data booster,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
47,how to activate data buster plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
48,how to activate databooster that i just baught,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
49,how to activate dead ideasim,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
50,how to activate extra 15per gb data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
51,how to activate hidden package in my account,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
52,how to activate in 5gb data 6202624626,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
53,how to activate in current plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
54,how to activate in my number idea celebration package,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
55,how to activate international calling,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
56,how to activate international calls,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
57,how to activate isd,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
58,how to activate isd calls,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
59,how to activate isd services,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
60,how to activate it,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
61,how to activate idea celebration,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
62,how to activate idea celebration,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
63,how to activate idea celebration offer,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
