,Data,LDA_topic,LDA_topic_tfidf
903,how to collect mobile data offered by idea,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
904,how to collect my reward in myidea,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
905,how to collect the recharge bill for bank,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
906,how to colour,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
907,how to colour name sticker download madam,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
908,how to come data,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
909,how to come extra data,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.243*""recharg"" + 0.132*""phone"" + 0.125*""mobil"" + 0.091*""remov"""
910,how to coming idea whatsapp,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
911,how to communicate with your ideacare,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
912,how to complain for unknown number,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
913,how to complaint about slow services,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
914,how to complaint product,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
915,how to complete daily challenge 1 gb,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.119*""increas"" + 0.114*""speed"" + 0.112*""play"" + 0.070*""network"""
916,how to complinte about idea,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
917,how to conference call,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
918,how to configure idea4gvoice,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
919,how to configure ideasim,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
920,how to configure ideasim card,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
921,how to configure the ideasim card,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
922,how to configure to idea voice,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
923,how to connect,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
924,how to connect a check my another idea sms and calls,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
925,how to connect a mobile with ideafi if it does not show the option to connect sim to ideafi,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
926,how to connect account to pay bill,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
927,how to connect amobile data to tap top,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
928,how to connect connect,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
929,how to connect g,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
930,how to connect hotspot in ideaphone,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
931,how to connect internet,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
932,how to connect internet in mobile phones,"0.194*""mobil"" + 0.170*""check"" + 0.118*""help"" + 0.061*""recharg""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
933,how to connect idea card,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
934,how to connect idea celebration pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
935,how to connect idea fi,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
936,how to connect idea fi modem,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
937,how to connect idea fi of our phone,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
938,how to connect idea fi with mobile,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
939,how to connect idea file on my phone,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
940,how to connect idea for free,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
941,how to connect idea router and tv,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
942,how to connect idea voice,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
943,how to connect idea voice app in 3gmobile,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
944,how to connect idea wifi,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
945,how to connect idea wifi in mobile,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
946,how to connect idea wifi router,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
947,how to connect idea wifi to,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
948,how to connect ideafi,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
949,how to connect ideafi4 with myideaapp,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
950,how to connect ideafi4 witj,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
951,how to connect ideatv with,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
952,how to connect mb,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
953,how to connect mobile to ideafi if it does not show the connect to sim option,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
954,how to connect my other number in myideaapp,"0.331*""number"" + 0.154*""know"" + 0.074*""speed"" + 0.059*""recharg""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
955,how to connect my phone do you always calling,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
956,how to connect myidea fibre,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
957,how to connect one of the airtel number to ideanumber,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
958,how to connect the,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
959,how to connect the call for using idea wifi,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
960,how to connect the idea dongle local,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
961,how to connect the idea voice call without sim,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
962,how to connect the idea wifi,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
963,how to connect the ideanetwork data access,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
964,how to connect to ideafi,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
965,how to connect to vizio ideacare,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
966,how to connect voice call even now,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
967,how to connect wifi,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
968,how to connect wifi with myideaapp,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
969,how to connect with a alternative number,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
970,how to connect with bank,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
971,how to connected the ideatv,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
972,how to connected with wifi,"0.613*""idea"" + 0.055*""connect"" + 0.026*""gvoic"" + 0.021*""movi""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
973,how to connection another ideanumber,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.202*""number"" + 0.115*""ideanumb"" + 0.113*""myideaapp"" + 0.102*""recharg"""
974,how to consume my 8gb plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
975,how to contact,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
976,how to contact customer care of ideacare,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
977,how to contact to take ideagigafiber,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
978,how to contact with,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
979,how to contact you from idea sex,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
980,how to contect idea costermer care,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
981,how to contect ideacare,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
982,how to control data usage,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
983,how to control device,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
984,how to control idea hotspot device,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
985,how to control my device,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
986,how to control myidea data balance,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.168*""know"" + 0.103*""balanc"" + 0.073*""money"" + 0.069*""card"""
987,how to control the genetic,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
988,how to control the idea warning message,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
989,how to controlling voice controlling,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
990,how to convert 1gb of data of dairy milk wrapper,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
991,how to convert 251 plan to 149 plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
992,how to convert myideasim to airtel,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
993,how to convert post ped to pre ped,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
994,how to convert to post paid,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
995,how to convert vouchers into money,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
996,how to cook one apply,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
997,how to cook roti,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
998,how to copy,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
999,how to correct name on bill,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1000,how to correct womens,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1001,how to coupon,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
1002,how to coupon in recharge in idea account,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1003,how to cover my vouchers,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1004,how to creat free recharge,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1005,how to creat myidea account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1006,how to create a gmail account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1007,how to create a idea,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1008,how to create a idea account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1009,how to create a ideaaccount,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1010,how to create a ideaphone,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1011,how to create a myidea account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1012,how to create a new account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1013,how to create a new id,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1014,how to create a own hello tune in idea,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1015,how to create account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1016,how to create account in ideaapp ideaapps,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
1017,how to create account in ideaapp like ideacinema ideatv,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1018,how to create account in ideatv,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1019,how to create account idea account,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1020,how to create an idea account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1021,how to create google account,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1022,how to create idea account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1023,how to create idea payments bank account,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1024,how to create ideaaccount,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1025,how to create ideaid in ideaapps,"0.133*""ideasim"" + 0.107*""watch"" + 0.089*""ideaapp"" + 0.070*""download""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1026,how to create ideamusic,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1027,how to create ideatv,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1028,how to create my own hello tune,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1029,how to create myidea account,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1030,how to create myidea membership,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1031,how to create myideaid,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
1032,how to create new user id to watch ideacinema,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1033,how to create new vpn,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1034,how to create or do you arty,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1035,how to create password,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1036,how to create the id,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1037,how to create username and password for ideatv,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
1038,how to create your user id,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
1039,how to credit,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
1040,how to credit loans in ideaphone,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
